risk_level,customers,avg_risk_score,avg_default_probability,avg_credit_limit,avg_age,avg_delinquent_months,avg_max_delinquency,avg_credit_utilization,avg_payment_to_bill
Low,1864,17.144801502145924,0.17144808619712454,240724.24892703863,35.413090128755364,0.011266094420600859,0.015021459227467811,0.29353001049514477,0.3622152181343129
Moderate,2536,35.40469637223975,0.3540476311571216,149857.12933753943,35.94992113564669,0.2535488958990536,0.3548895899053628,0.3751294380947073,0.6204533630984301
High,904,61.96865044247788,0.6196869204850995,121825.22123893806,35.82964601769911,1.799778761061947,1.613938053097345,0.35928450279704405,0.3293453673570206
Very High,696,85.84166666666667,0.8584148530731568,98994.25287356322,35.36350574712644,3.8477011494252875,2.42816091954023,0.6258563430936697,0.05540455611790825
