segment,customers,total_transactions,total_spending_inr,avg_spending_inr,avg_balance_inr,avg_recency_days,avg_frequency,customer_percentage
High-Value Active Customers,142391,305239,479851125.39,3369.9540377551953,117290.56839881852,47.96388816708921,2.143667787992219,16.1
High-Value At-Risk Customers,279139,279139,927748152.04,3323.6063468021307,166915.33166286332,65.22080755465915,1.0,31.57
Low-Value Dormant Customers,255319,255438,32980497.59,129.17369091215303,61637.92361898253,61.54534915145367,1.0004660836052155,28.87
Recent Moderate-Spend Customers,203762,203762,200743657.08,985.1869194452352,109208.99096205377,40.03349495980605,1.0,23.04
Recently Active Customers,3654,4989,9472299.47,2592.309652435687,105593.27852741288,0.004105090311986864,1.3653530377668308,0.41
