feature,mean_abs_shap
max_delinquency,0.03642796544631621
pay_0,0.03398788486129944
avg_delinquency,0.033768187094145
num_delinquent_months,0.033521981518699735
recent_delinquency,0.027471786598539497
maximum_credit_utilization,0.014979097856886586
average_credit_utilization,0.014001492475907257
limit_bal,0.013329336870869629
total_payment_amount,0.01060668566772444
pay_2,0.009616627670781917
average_payment_amount,0.009090699791656392
payment_to_bill_ratio,0.007995498359159154
pay_amt2,0.007527406636034733
maximum_bill_amount,0.007516778740445846
maximum_payment_amount,0.007410773787457892
bill_amt1,0.007202158254980244
pay_amt3,0.007052678564238081
pay_amt1,0.006933906878655721
bill_amount_change,0.006552932883267332
total_bill_amount,0.006006560748962638
average_bill_amount,0.0058632957422512936
pay_3,0.0056539929967616065
pay_4,0.004524859095337238
pay_amt6,0.004523696036726629
pay_5,0.004185965653552198
pay_amt5,0.0037774006106070564
pay_amt4,0.0036088536992276315
age,0.0034821851151288457
bill_amt2,0.0033727853780818142
bill_amt5,0.0032436415535259428
bill_amt4,0.002937937387587822
bill_amt3,0.0029281761157333008
pay_6,0.002614407103806585
minimum_bill_amount,0.002537011487861092
bill_amt6,0.001877850120668461
sex,0.0017864921881154564
marriage_clean,0.0017206468728636643
education_clean,0.0014559568451138103
